model,question_id,scenario,benchmark,score
qwen3-max,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gpt-5.2,66e8add1650a03361a14c6f8,hle,validate_csv,1
qwen3-32b,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66b91693d86bff9a12fc1f99,hle,validate_csv,1
gemini-3.1-pro-preview-thinking-medium,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e8add1650a03361a14c6f8,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8add1650a03361a14c6f8,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-4b,66e8add1650a03361a14c6f8,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-8b,66e8add1650a03361a14c6f8,hle,validate_csv,1
gpt-5.2,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,1
qwen3.5-plus,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8add1650a03361a14c6f8,hle,validate_csv,0
gpt-5.2,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8add1650a03361a14c6f8,hle,validate_csv,0
gemini-2.5-flash,66e8add1650a03361a14c6f8,hle,validate_csv,1
qwen3-30b-a3b,66e8add1650a03361a14c6f8,hle,validate_csv,0
gemini-2.5-flash,66b91693d86bff9a12fc1f99,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
gemini-2.5-pro-nothinking,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3-235b-a22b,66e8add1650a03361a14c6f8,hle,validate_csv,1
qwen3.5-plus,66b91693d86bff9a12fc1f99,hle,validate_csv,0
gpt-5,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-4b,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
qwen3-32b,66b91693d86bff9a12fc1f99,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3-14b,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,1
qwen3-8b,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
qwen3-30b-a3b,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
qwen3-4b,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3.5-plus,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,1
qwen3-next-80b-a3b-instruct,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3-max,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-8b,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gpt-4.1,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3-32b,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
gpt-4.1,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gpt-5.2,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-32b,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gpt-4.1,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-30b-a3b,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8c151efbbc8b5a54da02b,hle,validate_csv,1
qwen3-14b,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
gemini-2.5-flash,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-4b,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-8b,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
openai/o3-mini-2025-01-31,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3-max,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
gemini-2.5-flash,66e8b0a9e5eaa390aa9fdde5,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-30b-a3b,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3.5-plus,66e8c151efbbc8b5a54da02b,hle,validate_csv,0
qwen3-32b,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen3-14b,66b91693d86bff9a12fc1f99,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8ccd402beabf885334534,hle,validate_csv,0
gpt-4.1,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-4b,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-max,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-30b-a3b,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-14b,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gpt-5.2,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8cfa03add731d7fce4352,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8cfa03add731d7fce4352,hle,validate_csv,0
gpt-5.2,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8ccd402beabf885334534,hle,validate_csv,0
gpt-5,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-14b,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-235b-a22b,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
qwen3-30b-a3b,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen3-8b,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gemini-2.5-flash,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
gpt-5,66e8ccd402beabf885334534,hle,validate_csv,1
qwen3-8b,66e8ccd402beabf885334534,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8cfa03add731d7fce4352,hle,validate_csv,0
gemini-2.5-flash,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8cfa03add731d7fce4352,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3.5-plus,66e8ccc4089d1e34c84c76c0,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8cfa03add731d7fce4352,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8ccd402beabf885334534,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e8ccd402beabf885334534,hle,validate_csv,0
gpt-5.2,66e8ccd402beabf885334534,hle,validate_csv,0
gpt-5.2,66e8d4736299517dd7a5da8c,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-max,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8ccd402beabf885334534,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8cfa03add731d7fce4352,hle,validate_csv,1
qwen3-30b-a3b,66e8ccd402beabf885334534,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8d4736299517dd7a5da8c,hle,validate_csv,0
gpt-4.1,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen3-4b,66e8d4736299517dd7a5da8c,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-235b-a22b,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-30b-a3b,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen3-32b,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-32b,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen3-8b,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen3.5-plus,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-32b,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen3.5-plus,66e8d4736299517dd7a5da8c,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen3-8b,66e8d4736299517dd7a5da8c,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e8d4736299517dd7a5da8c,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8ccd402beabf885334534,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8d4736299517dd7a5da8c,hle,validate_csv,1
gemini-3.1-flash-lite-preview,66e8d4736299517dd7a5da8c,hle,validate_csv,0
gpt-5,66e8d4736299517dd7a5da8c,hle,validate_csv,1
qwen3-max,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-4b,66e8cfa03add731d7fce4352,hle,validate_csv,0
qwen3-14b,66e8d4736299517dd7a5da8c,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8d4736299517dd7a5da8c,hle,validate_csv,0
gemini-2.5-flash,66e8d4736299517dd7a5da8c,hle,validate_csv,1
qwen/qwen2.5-72b-instruct-turbo,66e8d4736299517dd7a5da8c,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8cfa03add731d7fce4352,hle,validate_csv,1
qwen3-max,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
gemini-2.5-flash,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-32b,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen3-14b,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e8e8864c478c24f1a7e7b8,hle,validate_csv,1
gemini-2.5-pro-nothinking,66e8e8864c478c24f1a7e7b8,hle,validate_csv,1
qwen3.5-plus,66e8cfa03add731d7fce4352,hle,validate_csv,1
qwen3-235b-a22b,66e8d4736299517dd7a5da8c,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
gpt-4.1,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen3-235b-a22b,66e8cfa03add731d7fce4352,hle,validate_csv,1
qwen3-4b,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen3-14b,66e8cfa03add731d7fce4352,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen3-30b-a3b,66e9032060abc895aedcf460,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e8e8864c478c24f1a7e7b8,hle,validate_csv,1
qwen3-max,66e9032060abc895aedcf460,hle,validate_csv,0
qwen3-30b-a3b,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
gpt-5.2,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e9032060abc895aedcf460,hle,validate_csv,0
gemini-2.5-flash,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen3-4b,66e8ccd402beabf885334534,hle,validate_csv,0
qwen3-8b,66e8e8864c478c24f1a7e7b8,hle,validate_csv,0
qwen3.5-plus,66e8e8864c478c24f1a7e7b8,hle,validate_csv,1
qwen3-max,66e8cfa03add731d7fce4352,hle,validate_csv,1
gemini-3.1-pro-preview-thinking-medium,66e9032060abc895aedcf460,hle,validate_csv,1
gemini-3.1-flash-lite-preview,66e9032060abc895aedcf460,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3-14b,66e9032060abc895aedcf460,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e9032060abc895aedcf460,hle,validate_csv,0
gpt-4.1,66e8ccd402beabf885334534,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e9032060abc895aedcf460,hle,validate_csv,0
qwen3-32b,66e9032060abc895aedcf460,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e9032060abc895aedcf460,hle,validate_csv,0
gpt-4.1,66e9032060abc895aedcf460,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e9032060abc895aedcf460,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e9173256ec303aa22ccd37,hle,validate_csv,0
gpt-5,66e9032060abc895aedcf460,hle,validate_csv,0
gemini-2.5-flash,66e9032060abc895aedcf460,hle,validate_csv,0
qwen3-8b,66e9032060abc895aedcf460,hle,validate_csv,0
gpt-5,66e9173256ec303aa22ccd37,hle,validate_csv,1
qwen3.5-plus,66e9032060abc895aedcf460,hle,validate_csv,0
gemini-2.5-flash,66e9173256ec303aa22ccd37,hle,validate_csv,1
openai/gpt-4o-2024-05-13,66e9032060abc895aedcf460,hle,validate_csv,0
gpt-4.1,66e9249c953867e04c273db7,hle,validate_csv,0
gpt-5.2,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e9173256ec303aa22ccd37,hle,validate_csv,1
qwen3-235b-a22b,66e9032060abc895aedcf460,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e9032060abc895aedcf460,hle,validate_csv,0
qwen3-14b,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-4b,66e9249c953867e04c273db7,hle,validate_csv,0
gpt-4.1,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3-32b,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3-32b,66e9249c953867e04c273db7,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e9249c953867e04c273db7,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e9249c953867e04c273db7,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-30b-a3b,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-4b,66e9032060abc895aedcf460,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e9249c953867e04c273db7,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e9249c953867e04c273db7,hle,validate_csv,0
gemini-2.5-flash,66e9249c953867e04c273db7,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e9249c953867e04c273db7,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e9249c953867e04c273db7,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-max,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-8b,66e9249c953867e04c273db7,hle,validate_csv,0
qwen3-8b,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3-235b-a22b,66e9249c953867e04c273db7,hle,validate_csv,0
gpt-5.2,66e942c180435ab1cb1ef049,hle,validate_csv,1
gpt-4.1,66e942c180435ab1cb1ef049,hle,validate_csv,1
qwen3-max,66e942c180435ab1cb1ef049,hle,validate_csv,1
openai/gpt-4o-2024-05-13,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3.5-plus,66e9249c953867e04c273db7,hle,validate_csv,1
gpt-5.2,66e9032060abc895aedcf460,hle,validate_csv,1
qwen/qwen2.5-7b-instruct-turbo,66e942c180435ab1cb1ef049,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-8b,66e942c180435ab1cb1ef049,hle,validate_csv,0
gpt-5.2,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3-14b,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e942c180435ab1cb1ef049,hle,validate_csv,1
gemini-2.5-flash,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-4b,66e942c180435ab1cb1ef049,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-30b-a3b,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-30b-a3b,66e996260930c00374ceaa0b,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-32b,66e942c180435ab1cb1ef049,hle,validate_csv,0
qwen3-14b,66e996260930c00374ceaa0b,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3-max,66e996260930c00374ceaa0b,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e942c180435ab1cb1ef049,hle,validate_csv,1
qwen3-4b,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3-8b,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3-235b-a22b,66e942c180435ab1cb1ef049,hle,validate_csv,1
qwen3-4b,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e9173256ec303aa22ccd37,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e9173256ec303aa22ccd37,hle,validate_csv,1
qwen/qwen2.5-72b-instruct-turbo,66e996260930c00374ceaa0b,hle,validate_csv,0
gpt-5,66e942c180435ab1cb1ef049,hle,validate_csv,1
gemini-3.1-pro-preview-thinking-medium,66e996260930c00374ceaa0b,hle,validate_csv,1
gemini-3.1-flash-lite-preview,66e996260930c00374ceaa0b,hle,validate_csv,0
gpt-5.2,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3.5-plus,66e942c180435ab1cb1ef049,hle,validate_csv,1
gemini-2.5-pro-nothinking,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3.5-plus,66e996260930c00374ceaa0b,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e942c180435ab1cb1ef049,hle,validate_csv,1
qwen3-max,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-14b,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
gemini-2.5-pro-nothinking,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-32b,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3-235b-a22b,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e996260930c00374ceaa0b,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
gpt-5.2,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,1
openai/gpt-4o-2024-08-06,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
gemini-2.5-flash,66e996260930c00374ceaa0b,hle,validate_csv,0
qwen3-32b,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-235b-a22b,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,1
qwen3-30b-a3b,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-8b,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-30b-a3b,66e9173256ec303aa22ccd37,hle,validate_csv,0
gpt-5.2,66ea216e142383cfe2f74fde,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66ea216e142383cfe2f74fde,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
gpt-4.1,66ea216e142383cfe2f74fde,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e942c180435ab1cb1ef049,hle,validate_csv,0
gemini-2.5-pro-nothinking,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-4b,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen3.5-plus,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3.5-plus,66e9173256ec303aa22ccd37,hle,validate_csv,1
qwen/qwen2.5-7b-instruct-turbo,66ea216e142383cfe2f74fde,hle,validate_csv,0
gpt-4.1,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-4b,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen3-14b,66ea216e142383cfe2f74fde,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
openai/o3-mini-2025-01-31,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen3-32b,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen3-30b-a3b,66ea216e142383cfe2f74fde,hle,validate_csv,0
gemini-2.5-flash,66e9ce9d29eb7c1a0721fdf1,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66ea216e142383cfe2f74fde,hle,validate_csv,0
openai/o3-mini-2025-01-31,66ea216e142383cfe2f74fde,hle,validate_csv,0
gpt-5,66ea216e142383cfe2f74fde,hle,validate_csv,1
gemini-3.1-pro-preview-thinking-medium,66ea216e142383cfe2f74fde,hle,validate_csv,1
qwen3-8b,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen3-14b,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
qwen3.5-plus,66ea216e142383cfe2f74fde,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
gemini-2.5-pro-nothinking,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
gpt-5.2,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66e9173256ec303aa22ccd37,hle,validate_csv,0
qwen3-max,66ea216e142383cfe2f74fde,hle,validate_csv,0
qwen3-next-80b-a3b-instruct,66ea216e142383cfe2f74fde,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66ea2cc3c602e2b991ae8aba,hle,validate_csv,1
qwen3-next-80b-a3b-instruct,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
openai/o3-mini-2025-01-31,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
qwen3-30b-a3b,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
qwen3-4b,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
gpt-4.1,66ea2cc3c602e2b991ae8aba,hle,validate_csv,0
